Query,Baseline,Proposed,Iter-1,Iter-2
dutchess county tourism,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?","What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?","What types of accommodation are available for tourists such as hotels, hostels, or vacation rentals?"
ontario california airport,What specific features or services are available at Ontario International Airport in California?,What services and facilities are available at the location?,What services and facilities are available at the location?,What type of parking facilities are available at the location?
civil right movement,"the Civil Rights Movement could be, ""What specific aspects of this historical event are you interested in learning more about?",What role have other countries played in addressing or contributing to this international context?,What role have other countries played in addressing or contributing to this international context?,What role did international organizations and countries play in supporting or opposing the civil rights movement during its peak years?
flushing,"What specific type of flushing are you referring to, such as toilet or plumbing system?",What is the setting or situation in which this context takes place?,What is the setting or situation in which this context takes place?,"What is the definition or meaning of the term ""tertiary sector""?"
map of the united states,What specific features or regions do you want included on the map of the United States?,What factors influence the climate and weather patterns?,What factors influence the climate and weather patterns?,What is the primary industry contributing significantly to the economy of [Country/Region]?
von willebrand disease,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?,What are some of the causes and risk factors associated with Alzheimer's disease?,What is the recommended treatment plan for after receiving a proper diagnosis?
furniture for small spaces,"What specific types of furniture are suitable for small living spaces, such as apartments or compact homes?",What design elements or principles can be incorporated into small space designs to create an aesthetically pleasing and visually appealing atmosphere?,What design elements or principles can be incorporated into small space designs to create an aesthetically pleasing and visually appealing atmosphere?,What are some key factors to consider when selecting furniture and decor items for small living spaces?
electronic skeet shoot,"What type of electronic device or system is used for an electronic skeet shoot, such as a computer program or sensor technology?",What type of equipment is typically used?,What type of equipment is typically used?,What type of equipment is typically used?
atari,What type of video game console was Atari?,What type of business ventures are you currently involved in or considering investing in?,What type of business ventures are you currently involved in or considering investing in?,What type of business ventures are you currently involved in or considering investing in?
yahoo,"""What specific information or service are you looking for related to Yahoo?","What are some of the key competitors in the online services industry, and how do they differentiate themselves from each other?","What are some of the key competitors in the online services industry, and how do they differentiate themselves from each other?",Who are the key stakeholders or shareholders in Yahoo! Inc.'s current corporate structure?
