topic_id,topic,question,Baseline,Proposed
1,obama family tree,are you interested in seeing barack obamas family,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,would you like to know barack obamas geneology,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,would you like to know about obamas ancestors,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,would you like to know who is currently alive from president obamas family tree,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,are you looking for biological information on his family,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,are you referring to the time magazine essay,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,do you want to know more about obamas parents,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,how many generations would you like me to list from president obamas family tree,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,what would you like to know about obamas heritage,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,which family members of obama are you interested in learning more about,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,which specific details would you like to learn about obamas heritage,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,would you like to hear about president obamas family tree,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
1,obama family tree,,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
10,cheap internet,are you interested in finding cheap items on the internet,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,are you wondering who used cheap internet,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,do you already have a phone service,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,how do you know if your internet service is inexpensive,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,or maybe free internet,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,what companies have the lowestcost internet service,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,are you interested in lowcost internet providers,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,are you looking for any bundles or deals,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,are you looking for information on any specific internet technology,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,are you looking to buy cheap internet,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,are you upset by the quality of your internet service,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
