Timestamp,Respondent ID,Topic,Question Text,Fluency,Relevance,Usefulness
4/27/2026 16:02:06,R1777296599077351,Porterville,What is Porterville known for in terms of its economy or industry?,5,3,3
4/27/2026 16:02:06,R1777296599077351,Porterville,Is Porterville a city in California?,5,4,3
4/27/2026 16:02:07,R1777296599077351,Porterville,"Is Porterville a specific city or location you're referring to, such as in California?",5,4,3
4/27/2026 16:02:07,R1777296599077351,Porterville,What is the intended meaning of porterville?,5,1,5
4/27/2026 16:02:08,R1777296599077351,Porterville,What is Porterville's primary economic industry?,5,2,4
4/27/2026 16:02:08,R1777296599077351,Rick Warren,Is Rick Warren's focus on spiritual growth and leadership primarily geared towards Christians or also applicable to other faiths?,5,5,3
4/27/2026 16:02:08,R1777296599077351,Rick Warren,What is the intended meaning of rick warren?,3,1,2
4/27/2026 16:02:09,R1777296599077351,Rick Warren,Is Rick Warren a Christian author?,5,3,3
4/27/2026 16:02:09,R1777296599077351,Rick Warren,Who is Rick Warren's primary audience for his books and sermons?,5,4,4
4/27/2026 16:02:09,R1777296599077351,Adobe Indian Houses,Are Adobe Indian houses typically found in dry desert regions?,5,2,3
4/27/2026 16:02:10,R1777296599077351,Adobe Indian Houses,"Who were the Adobe Indian people, and what was their traditional way of life?",5,4,4
4/27/2026 16:02:10,R1777296599077351,Adobe Indian Houses,What type of traditional Indian houses are commonly associated with Adobe construction?,5,3,3
4/27/2026 16:02:10,R1777296599077351,Adobe Indian Houses,What role did traditional Indian houses play in the daily lives of their occupants?,5,4,3
4/27/2026 16:02:10,R1777296599077351,Adobe Indian Houses,"What specific type of Adobe Indian house are you referring to, such as a Pueblo or Anasazi dwelling?",5,5,3
4/27/2026 16:02:11,R1777296599077351,Indexed Annuity,Is an indexed annuity tied to a specific inflation index?,5,4,4
4/27/2026 16:02:11,R1777296599077351,Indexed Annuity,What is the intended meaning of indexed annuity?,5,3,5
4/27/2026 16:02:11,R1777296599077351,Indexed Annuity,"Is an indexed annuity specifically tied to a particular market index, such as the S&P 500?",5,3,3
4/27/2026 16:02:11,R1777296599077351,Indexed Annuity,What is the primary benefit of investing in an indexed annuity?,5,4,3
4/27/2026 16:02:11,R1777296599077351,Bellevue,Is Bellevue referring to the city in Washington state or another location?,5,5,2
4/27/2026 16:02:11,R1777296599077351,Bellevue,Is Bellevue a specific city or location?,5,3,4
4/27/2026 16:02:11,R1777296599077351,Bellevue,What is the intended meaning of bellevue?,5,2,2
4/27/2026 16:02:12,R1777296599077351,Bellevue,Is Bellevue a city?,5,4,4
4/27/2026 16:02:13,R1777296599077351,Bellevue,What is the context in which Bellevue refers to?,5,5,5
4/27/2026 16:02:13,R1777296599077351,Elliptical Trainer,What is the intended meaning of elliptical trainer?,5,3,4
4/27/2026 16:02:13,R1777296599077351,Elliptical Trainer,What is the typical target area of an elliptical trainer for users with joint issues?,5,4,4
4/27/2026 16:02:13,R1777296599077351,Elliptical Trainer,What is the intended purpose of an elliptical trainer?,5,2,5
4/27/2026 16:02:13,R1777296599077351,Elliptical Trainer,"Is there a specific type of elliptical trainer (e.g. home gym, commercial use, budget range) you are looking for more information on?",5,4,3
4/27/2026 16:02:13,R1777296599077351,Elliptical Trainer,Is an elliptical trainer a type of cardio machine?,5,2,2
4/27/2026 16:02:14,R1777296599077351,Alexian Brothers Hospital,Is Alexian Brothers Hospital a real medical facility?,5,4,5
4/27/2026 16:02:15,R1777296599077351,Alexian Brothers Hospital,What notable medical innovation did Alexian Brothers Hospital develop?,5,3,3
4/27/2026 16:02:15,R1777296599077351,Alexian Brothers Hospital,What is the role of Alexian Brothers Hospital in providing healthcare services to the community?,5,3,4
4/27/2026 16:02:17,R1777296599077351,Alexian Brothers Hospital,What is the primary role or function of Alexian Brothers Hospital in serving its community?,5,4,3
4/27/2026 16:02:17,R1777296599077351,Alexian Brothers Hospital,"Is Alexian Brothers Hospital located in Peoria, Illinois?",5,5,4
4/27/2026 16:02:17,R1777296599077351,Dutchess County Tourism,Is Dutchess County a popular tourist destination?,5,5,2
4/27/2026 16:02:17,R1777296599077351,Dutchess County Tourism,What seasonal events are typically held in Dutchess County?,5,4,4
4/27/2026 16:02:18,R1777296599077351,Dutchess County Tourism,"What is the primary target audience for Dutchess County Tourism, and how do they differ from other regional tourist groups?",5,2,4
4/27/2026 16:02:18,R1777296599077351,Dutchess County Tourism,What nearby attractions are there in Dutchess County that complement its historic sites and natural beauty?,5,4,5
4/27/2026 16:02:18,R1777296599077351,Dutchess County Tourism,Is Dutchess County in New York State?,5,2,2
4/27/2026 16:02:20,R1777296599077351,California Franchise Tax Board,Is the California Franchise Tax Board responsible for collecting taxes on businesses operating in California?,5,3,3
