topic_id,topic,Baseline,Proposed,question
1,obama family tree,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?",What ancestors and relatives were part of Barack Obama's family tree?,are you interested in seeing barack obamas family
10,cheap internet,The most cost-effective internet service provider in my area is...,What connection speed limitations does cheap internet typically have?,are you interested in finding cheap items on the internet
101,ritz carlton lake las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What accommodation options are available at Ritz Carlton Lake Las Vegas?,are you looking for a specific web site
102,fickle creek farm,What type of activities or produce does Fickle Creek Farm specialize in?,What type of farming does Fickle Creek Farm practice?,are you going to purchase anything there
103,madam cj walker,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What inventions and patents did Madam C.J. Walker create?,are you looking for sarah breedlove
104,indiana child support,What specific details about Indiana child support are you looking for?,What criteria must be met for a child to be eligible for Indiana child support?,are you interested in indiana child support
105,sonoma county medical services,What specific type of medical services are available in Sonoma County?,What types of medical facilities are available in Sonoma County?,are you interested in the human services department
106,universal animal cuts reviews,What specific types of animal cuts are being reviewed in these universal reviews?,What are the average satisfaction ratings for Universal Animal Cuts?,did universal animal cuts work for you
107,cass county missouri,"What specific features or locations within Cass County, Missouri are you interested in learning more about?","What county in Missouri has a population of approximately 13,000 residents located in the central part of the state?",are you interested in a list of homes for sale in cass county
108,ralph owen brewster,Who was Ralph Owen Brewster?,What role did Ralph Owen Brewster play in the development of public education?,are you interested in learning more about ralph owen brewseter
109,mayo clinic jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What medical services are available at Mayo Clinic Jacksonville FL?,are you interested in jobs at mayo clinic jacksonville fl
11,gmat prep classes,"What specific type of Gmat Prep class do you prefer, in-person or online?",What specific details about gmat prep classes would help clarify your question?,any specific company on your mind
110,map of brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What geographic boundaries define Brazil's map?,are you planning a trip to brazil
111,lymphoma in dogs,"What specific type of lymphoma is present in your dog, and what are its symptoms?",What diagnostic tests are typically used to diagnose lymphoma in dogs?,are you interested in the treatment costs of lymphoma in dogs
112,kenmore gas water heater,What specific model or type of Kenmore gas water heater are you inquiring about?,What type of appliance is a Kenmore gas water heater?,are you iinterested in a kenmore gas water heater
113,hp mini 2140,What specific features or specifications are you looking for in relation to the HP Mini 2140?,What processor does the HP mini 2140 have?,are you looking for the nearest store you can buy hp mini 2140
114,adobe indian houses,"Can you provide more details about what specifically you would like to know about Adobe Indian Houses, such as their architectural features or historical significance?",What construction materials were typically used to build Adobe Indian houses?,are you going to purchase any specific product related to your search
115,pacific northwest laboratory,What specific research or testing is conducted at the Pacific Northwest Laboratory?,What environmental studies does the Pacific Northwest Laboratory focus on?,are you looking for a specific representative in relation to the company
116,california franchise tax board,What specific services or resources does the California Franchise Tax Board provide for businesses and individuals in the state?,What California Franchise Tax Board regulations apply to small business deductions?,are you looking for legal forms
117,dangers of asbestos,"One useful follow-up question to clarify the query about the dangers of asbestos could be, ""What specific health risks are associated with exposure to asbestos?",What occupational exposure poses the greatest danger from asbestos?,are you asking about the dangers of asbestos siding
118,poem in your pocket day,"What specific date or month is ""Poem in Your Pocket Day"" celebrated each year?",What event originated poem in your pocket day?,are you interested in the canadian holiday
119,interview thank you,"One useful follow-up question to clarify the query would be, ""What specific aspects of an interview do you want to express gratitude for?",What specific opportunities for future interviews have you gained confidence in since your last interview?,are you interested in example of thank you letters for interview
12,djs,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What professional setup do you require for your DJ services?,are you a dj
120,tv on computer,"One useful follow-up question to clarify the query would be, ""Are you referring to streaming TV shows or playing traditional television programs through your computer?",What streaming platform allows for TV content to be watched on a computer?,are you interested in buying a tv with a computer included
121,sit and reach test,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What scoring system is used to evaluate the results of a sit and reach test?,are you looking for information on how its scored
122,culpeper national cemetery,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What national cemetery was established in response to the Battle of Culpeper Court House during the American Civil War?,are you looking for the records for culpeper national cemetary
123,von willebrand disease,"What specific type of von Willebrand disease are you referring to, such as Type 1 or Type 2?",What specific details about von willebrand disease would help clarify your question?,are you interested in learning about treatments for von willebrand disease
124,bowflex power pro,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?",What is the price range of the Bowflex Power Pro?,are you interested in purchasing it online
125,butter and margarine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?",What cooking methods are suitable for using butter or margarine?,are you interested in the the nutritional value of butter and margarine
126,us capitol map,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What building design is featured on the US Capitol map?,are you interested in a map of capitol hill
127,dutchess county tourism,What specific attractions or activities are available in Dutchess County for tourists?,What attractions and activities can I find in Dutchess County Tourism?,are you interested in the farm fresh tours
128,atypical squamous cells,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?",What specific details about atypical squamous cells would help clarify your question?,are you interested in a desciption of aytypical squamous cells
129,iowa food stamp program,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,What are the eligibility criteria for the Iowa food stamp program?,are you interested in how much you can get from this program
13,map,What type of map are you looking for?,"What geographic location was the term ""map"" first used in?",are you interested in cartography
130,fact on uranus,What specific features or characteristics of Uranus would you like more information about?,What is the composition of Uranus' atmosphere?,are there any specific details that you are trying to find out
131,equal opportunity employer,"An example of a useful follow-up question to clarify the query ""equal opportunity employer"" could be, ""What specific aspects of diversity and inclusion are you interested in learning more about regarding an organization's commitment to being an equal opportunity employer?",What hiring practices does an equal opportunity employer use to ensure fair treatment during the recruitment process?,are you looking for a specific web page
132,mothers day songs,"One useful follow-up question to clarify the query would be, ""What specific type of mothers day songs are you looking for (e.g., classic, contemporary, country, etc.)?",What popular artists are known for performing Mother's Day songs?,are you interested in remembrance songs
133,all men are created equal,"What specific principle or concept is being referred to when it says ""all men are created equal""?","What social equality is being referred to when saying ""all men are created equal""?",are you looking for declaration of independence at the national archives
134,electronic skeet shoot,What specific type of electronic skeet shooting equipment are you looking for?,What target movement patterns are used in electronic skeet shooting?,are you interested to see images of it
135,source of the nile,The Nile River originates from which specific location?,What Nile Basin countries are included in the source of the river?,are you interested in the origin of the nile
136,american military university,"One useful follow-up question to clarify the query would be, ""What specific information are you looking for regarding American Military University?",What accreditation agency grants American Military University its status?,are you interested in learning more about tuition costs for the american military university
137,rock and gem shows,"What specific types of rocks or gems are featured in these shows, and what kind of exhibits or demonstrations can viewers expect to see?",What types of rocks are typically featured in gem shows?,are you curious about rock and gem shows
138,jax chemical company,What type of chemicals does Jax Chemical Company specialize in producing?,What chemical industry reputation does Jax Chemical Company have?,are you interested in a specific type of product
139,rocky mountain news,"One useful follow-up question to clarify the query ""rocky mountain news"" could be, ""What specific region or area within the Rocky Mountains are you looking for news updates on?",What is the location of the headquarters for Rocky Mountain News?,are you interested in news archives
14,dinosaurs,"Which type of dinosaur do you want to learn more about, like T-Rex or Stegosaurus?",What is the scientific classification of dinosaurs?,are you interested in coloring books
140,east ridge high school,What specific location or type of East Ridge High School are you referring to?,"What high school has an East Ridge location, and what is its size?",are you interested in east ridge high school latest news
141,va dmv registration,What type of vehicle do you need to register at the DMV?,What registration process do I need to follow at the VA DMV?,are you interested in organ donation information
142,illinois state tax,"What specific Illinois state taxes are there, such as income tax or sales tax?",What tax rates apply to different categories in Illinois state?,are you interested in how the illinois state tax is determined
143,arkadelphia health club,What type of services or amenities does the Arkadelphia Health Club offer?,What equipment is available at Arkadelphia Health Club?,are you looking for a 24 hour fitness center
144,trombone for sale,"What type of trombone is being sold, and what features or specifications are included with it?",What type of instrument is for sale?,are you interested in selling a trombone you own
145,vines for shade,"The specific type of vine that is suitable for providing shade, such as climbing roses or English ivy.",What vines have high tolerance for shade?,are you looking for a flowering ivy
146,sherwood regional library,What type of resources does the Sherwood Regional Library offer for its patrons?,What collection of books and media does Sherwood Regional Library offer?,are you looking for any specific information about the library
147,tangible personal property tax,What specific type of tangible personal property is subject to taxation in your area?,What are the eligibility criteria for taxation of tangible personal property?,are you reffering to the federal or state tax
148,martha stewart and imclone,Who is Martha Stewart collaborating with in relation to ImClone?,What pharmaceutical company is associated with Martha Stewart?,are you interested in martha stewarts role in the company
149,uplift at yellowstone national park,What specific features or activities are available for experiencing uplift in Yellowstone National Park?,What geothermal features can be found at Yellowstone National Park?,are you interested in a specific aspect of uplift at yellowstone national park
15,espn sports,"A useful follow-up question to clarify the query could be, ""What specific sport or league are you interested in on ESPN?",What teams and players are featured on ESPN?,are you looking for information on a specific league
150,tn highway patrol,"What specific type of highway patrol are you referring to, such as state or federal?",What organization structure does the Tennessee Highway Patrol follow?,are you curious about the employment opportunies at the tennesse highway patrol
151,403b,What type of retirement plan is a 403b?,"What b plans are eligible for expenses, and what is the income limit for these plans?",are you interested in any specific rules
152,angular cheilitis,What specific symptoms or causes are associated with angular cheilitis?,What causes and risk factors contribute to angular cheilitis?,are asking what the symptoms are for angular cheilits
153,pocono,Which Pocono do you want to know about?,What mountain range is Pocono located in?,are you interested in lodgings
154,figs,"Which type of fig are you referring to, such as common figs (Ficus), or any specific variety like the Ficus lyrata (Rubber Tree)?",What are the botanical classifications of figs?,are you interested in figs health benefits
155,last supper painting,"The specific location of the Last Supper painting, such as its current whereabouts or where it was originally painted.",What subject matter is depicted in Leonardo da Vinci's famous painting of the Last Supper?,are you interested in the history of the last supper painting
156,university of phoenix,What specific program or degree do you want to know more about at the University of Phoenix?,What university has an accreditation status?,are you interested in comparing university of phoenix with other universities in any specific aspect
157,the beatles rock band,What specific features or gameplay elements are included in The Beatles Rock Band game?,What genre of music do The Beatles belong to?,are you interested in a specifc song from the beatles
158,septic system design,"One useful follow-up question to clarify the query would be, ""Can you provide more details about what specific aspects of septic system design you are interested in learning about?",What capacity requirements are needed for a septic system design?,ae you looking for examples of septic system design
159,porterville,Where is Porterville located?,What is the population size of Porterville?,are you interested in schools in poterville
16,arizona game and fish,"What type of organization is the Arizona Game and Fish, and what services or resources does it provide to the public?",What wildlife management programs are implemented by the Arizona Game and Fish?,are you looking for a specific web page
160,grilling,What type of grill do you have in mind for your cooking purposes?,What cooking method is grilling?,are you interested in a recipe for grilled chicken
161,furniture for small spaces,"What specific types of furniture are suitable for small spaces, such as compact or space-saving designs?",What space-saving furniture designs are suitable for small spaces?,are you interesting in buying furniture
162,dnr,What specific type of DNR are you referring to?,What is DNR?,are you referring to the company or the term do not resuscitate
163,arkansas,What specific region or city in Arkansas are you referring to?,"What is the population of Arkansas, and what is its economy based on?",are you interested in learning about arkansas
164,hobby stores,Which type of hobbies do you have in mind when looking for a hobby store?,What popular items are typically sold at hobby stores?,are you looking for a radiocontrolled plane
165,blue throated hummingbird,What specific features or characteristics of the Blue-throated Hummingbird are you interested in learning more about?,What migration pattern does the blue throated hummingbird follow?,are you curious about the size
166,computer programming,What specific language or platform are you interested in learning for computer programming?,What development tools are commonly used in computer programming?,are you interested in a coding bootcamp
167,barbados,"One useful follow-up question to clarify the query about Barbados could be, ""What specific details or information are you looking for regarding Barbados?",What is the population size of Barbados?,are you interested in barbados flag
168,lipoma,"A lipoma is a type of fatty tumor, can you provide more details about its location on the body?",What is a lipoma?,are you looking for a clinic for lipoma treatment
169,battles in the civil war,What specific battles during the Civil War are you interested in learning more about?,What battles were fought between which sides during the American Civil War?,are you looking for a confederate victory
17,poker tournaments,"Poker tournaments typically involve what type of playing cards, chips, or other materials?",What entry fees are typically associated with poker tournaments?,are you interested in learning how to play poker
170,scooters,What type of scooter are you looking for?,What types of scooters are available?,are you interested in scooter laws
171,ron howard,Who is Ron Howard?,What Academy Awards has Ron Howard been nominated for or won?,are you interested in ron howards life story and career highlights
172,becoming a paralegal,"What specific steps are involved in the process of becoming a paralegal, such as obtaining education or certification requirements?",What are the education requirements to become a paralegal?,are you interested in law school
173,hip fractures,"One useful follow-up question to clarify the query about hip fractures could be, ""Can you provide more details on what specifically you would like to know about hip fractures?",What is the global incidence rate of hip fractures in women over the age of 65?,are you interested in any specific statistics for fractures
174,rock art,Where is this specific example of rock art located?,What geographic location is associated with these rock art pieces?,are you going to purchase any specific tools
175,signs of a heartattack,What specific symptoms or warning signs should someone look out for when suspecting they are experiencing a heart attack?,What are the common symptoms to look for during a heart attack?,are you at risk for having a heart attack
176,weather strip,"What type of material is typically used for a weatherstrip, such as rubber or foam?",What material properties make certain weather strips more effective at reducing drafts in a building?,are you interested in weather strips for doors
177,best long term care insurance,What specific types of coverage and benefits are typically included in long-term care insurance policies?,What provider network does the best long term care insurance have?,are you interested in comparing coverage prices
178,pork tenderloin,What specific preparation method or seasoning would you like to know more about for cooking pork tenderloin?,What cooking method should I use for pork tenderloin?,are you interested in a pork recipe
179,black history,"One useful follow-up question to clarify the query about ""black history"" could be, ""What specific time period or event within black history would you like more information on?",What cultural contributions have made significant impacts on African American history?,are you interested in black celebrities
18,wedding budget calculator,"One useful follow-up question to clarify the query would be, ""What specific factors do you want to consider when calculating your wedding budget?",What is the total cost breakdown for each wedding expense category?,are you interested in a service for wedding budgeting
180,newyork hotels,"What specific type of hotel are you looking for in New York, such as luxury, budget, or family-friendly options?",What top attractions are nearby New York hotels?,are you interested in new york hotel prices
181,old coins,"Which specific type of old coin are you interested in learning more about, such as Roman or Greek?",What minting process was used to create old coins?,any tutorials would interest you
182,quit smoking,"One useful follow-up question to clarify the query would be, ""What methods or resources have you considered using to help with quitting smoking?",What health risks are associated with quitting smoking?,are you having trouble quitting somking
183,kansas city mo,"What specific location in Kansas City, MO are you referring to?","What is the population size of Kansas City, MO?",are you interested in hallmark visitors center
184,civil right movement,"One useful follow-up question to clarify the query about the Civil Rights Movement could be, ""What specific aspects of this historical event are you interested in learning more about?",Who were the key participants and leaders involved in the civil rights movement?,are you interested in knowing what started the civil rights movement
185,credit report,"Can you please specify what type of credit report you would like to obtain, such as a personal or business credit report?",What debt consolidation options are available to me with my current credit report?,are you interested in a list of companies in which you can get credit reports
186,unc,"The specific missing detail in the query ""unc"" is the context or subject of the information being sought, such as university, country, abbreviation, etc. A useful follow-up question to clarify this query could be ""What type of organization or",What education system is UNC associated with?,are you interested in any specific activities at university of carolina
187,vanuatu,Where is Vanuatu located in relation to other countries or regions?,What is the population size of Vanuatu?,are you interested in the location of vanuatu
188,internet phone service,"One useful follow-up question to clarify the query would be, ""What specific features or capabilities are you looking for in an internet phone service?",What internet phone service supports which devices?,are you interested in price comparison of packages
189,gs pay rate,"The specific hourly or daily wage for a given job position, such as an entry-level data analyst or a senior software engineer.",What experience level do GS pay rates typically apply to?,are you interested in applying for federal jobs
19,the current,The current temperature in this room would you like me to check for you?,What time period is the current being referred to?,are you interested in the current fm channel
190,brooks brothers clearance,What specific Brooks Brothers items are included in the clearance sale?,What end of season sale?,are you interested in brooks brothers clearance shirts
191,churchill downs,Where is Churchill Downs located?,What is the history of horse racing at Churchill Downs?,are you interested in a schedule of events from churchill downs
192,condos in florida,Which specific location within Florida are you looking for condominiums?,What specific details about condos in florida would help clarify your question?,are you interested in any specific city in florida
193,dog clean up bags,"What type of cleaning bags do you need for your dogs, such as biodegradable or disposable?",What types of waste do dog clean up bags typically handle?,are you disposing of your dog waste at home or in a designated area
194,designer dog breeds,Which specific characteristics or traits are you interested in when it comes to designer dog breeds?,What physical characteristics do designer dog breeds possess?,are you interested in a puppy
195,pressure washers,"What specific type of pressure washer are you looking for, gas or electric?",What types of pressure washers are available in the market?,are you looking for the nearest location to buy a pressure washer
196,sore throat,"One useful follow-up question to clarify the query about a sore throat could be, ""What specific symptoms are you experiencing in addition to your sore throat?","What causes a sore throat, and what treatments are effective for relieving its symptoms?",are you looking for doctors that treat sore throats
197,idaho state flower,What specific Idaho state flower are you looking for?,What is the botanical classification of the Idaho state flower?,are you interested in the histroy behind it
198,indiana state fairgrounds,What specific event or function is being held at the Indiana State Fairgrounds?,What events are scheduled to take place at the Indiana State Fairgrounds?,are you interested in any specific events here
199,fybromyalgia,What specific symptoms or triggers are associated with fibromyalgia?,What causes fibromyalgia to develop in individuals?,are you experiencing a flare up
2,french lick resort and casino,What types of amenities or activities are available at the French Lick Resort and Casino?,What specific details about french lick resort and casino would help clarify your question?,are you interested in french lick resort and casinos hours of operation
20,defender,"A useful follow-up question to clarify the query ""defender"" could be, ""What specific role or context are you referring to when discussing defenders?",What sports position is defender?,are you interested in the isfj personality type
200,ontario california airport,What specific features or services are available at Ontario International Airport in California?,What airport services are available at Ontario International Airport?,are you planning to take a trip on ontario or california
21,volvo,Which model of Volvo are you looking for?,What company was Volvo originally founded as?,are looking for reviews on volvo xc90 suv
22,rick warren,Who is Rick Warren and what specific topic or event are you referring to?,What church did Rick Warren found?,are you looking for a political debate
23,yahoo,"One useful follow-up question to clarify the query would be, ""What specific information or service are you looking for within Yahoo?",What popular websites are associated with Yahoo?,are you referring to a crazy person
24,diversity,"One useful follow-up question to clarify the query ""diversity"" could be, ""What specific aspects of diversity are you interested in learning more about?",What cultural backgrounds do you consider when discussing diversity?,are you looking for a definition of diversity
25,euclid,"In which context or field of study is Euclid most commonly associated with, such as geometry or mathematics?",What are geodesics in geometry?,are you interested in learning about the greek mathmetician
26,lower heart rate,"One useful follow-up question to clarify the query would be, ""What is the normal range for an individual's resting heart rate?",What medical condition causes a lower heart rate?,are you planning to run or exercise
27,starbucks,Which Starbucks location are you referring to?,What locations does Starbucks have in my area?,are you interested in a specific nutritional information
28,inuyasha,"Inuyasha is a popular anime series, could you please specify which aspect of Inuyasha you would like to know more about?","What characters are Inuyasha and his companions, and what roles do they play in the story?",are you interested in inuyasha cosplay
29,ps 2 games,Which two PlayStation games are you referring to?,What genre was the first PlayStation game?,are you interested in playing ps 2 games on other consoles such as playstation 3 and playstation 4
3,getting organized,"One useful follow-up question to clarify the query would be, ""What specific areas of your life or environment do you want to organize?",What time management techniques can help me get organized?,are you in the beginning or more advanced stages of getting organized
30,diabetes education,"One useful follow-up question to clarify the query about diabetes education could be, ""What specific resources or topics are you interested in learning more about regarding diabetes management and prevention?",What types of classes are available for diabetes education?,are you interested in an online site for diabetes
31,atari,What type of video game console was Atari?,What video game console manufacturer is Atari?,are you interested in atari 2600
32,website design hosting,"What specific features do you want in your website design, such as responsive design, e-commerce capabilities, or content management system integration?",What website features does this hosting service include?,are you interested in free websites or would you like your own domain
33,elliptical trainer,"What specific features are you looking for in an elliptical trainer, such as resistance levels, stride length, or weight capacity?",What types of workouts can be performed on an elliptical trainer?,are you interested in different brands of elliptical trainer
34,cell phones,"Which type of cell phone do you want to know about, such as Android or iPhone?",What features and specifications are available in cell phones?,are you interested in a specific brand of cell phone
35,hoboken,In which state is Hoboken located?,What is the population size of Hoboken?,are interested in the nightlife here
36,gps,In which context or application would you like to use GPS technology?,What GPS system has the highest accuracy for location tracking?,are you interested in how gps was orginally made
37,pampered chef,"Who is Pampered Chef, what do they specialize in, and when was their company founded?",What product types are available from Pampered Chef?,are you looking for reviews related to the pampered chef
38,dogs for adoption,"One useful follow-up question to clarify the query would be, ""What specific type of dog are you looking to adopt?",What breeds of dogs are available for adoption?,are you willing to adopt a shelter dog
39,disneyland hotel,What type of features or amenities does the Disneyland Hotel offer for its guests?,What room types are available at Disneyland Hotel?,are you interested in staying here for certain dates
4,toilet,Where is the toilet located in this building?,What material is used to make toilets?,are you looking for specific products related to toilets
40,michworks,"What specific type of database or resource are you looking for related to Michigan workers, such as employment records, labor union data, or industry profiles?",What Michigan workforce agency information is available?,are you interested in more about the company
41,orange county convention center,What specific events or conferences are currently taking place at the Orange County Convention Center?,What events has the Orange County Convention Center hosted?,are you looking for events
42,the music man,Who is the Music Man referring to?,What musical genre is The Music Man?,are you interested in the music man
43,the secret garden,"The Secret Garden is a novel by Frances Hodgson Burnett, published in 1899. Can you provide more details about which version of The Secret Garden are you referring to?",What location is the secret garden located at?,are you interested in educational reviews and essays about the secret garden for a homework assignment
44,map of the united states,What specific features or regions do you want included on the map of the United States?,What states and territories make up the United States?,are you interested in a current map of the united states
45,solar panels,"One useful follow-up question to clarify the query about solar panels could be, ""What specific purpose or application are you interested in using solar panels for?",What solar panel has the highest efficiency rating?,are you looking for a specific type of solar panels
46,alexian brothers hospital,What specific location or branch of Alexian Brothers Hospital are you inquiring about?,What services are offered at Alexian Brothers Hospital?,are you interested in what services alexian brothers hospital offers
47,indexed annuity,"Annuities are financial products that provide guaranteed income for retirement, but what specific type of annuity is being referred to - fixed or variable?",What is an indexed annuity?,are you considering purchasing an indexed annuity
48,wilson antenna,"The specific location of Wilson Antenna, such as its coordinates or city/country it is located in.",What design specifications are used in Wilson antennas?,are you looking for wilson antenna parts
49,flame designs,"Flame designs refer specifically to which type of flames, such as fire or chemical flames?",What company headquarters location is Flame Designs?,are you interested in finding a local tattoo shop that does flame design
5,mitchell college,Where is Mitchell College located?,What programs are offered at Mitchell College?,are you interested in a specific web page
50,dog heat,"One useful follow-up question to clarify the query would be, ""Can you provide more details about what exactly you want to know about dog heat?",What dog breeding cycle refers to the time when a female dog is most fertile?,are you interested in pet health supplies
51,horse hooves,"Horses have four hooves, right?",What horse shoeing techniques are commonly used to maintain proper hoof care for horses?,are you asking about a horses feet
52,avp,What specific type of AVP are you referring to?,What security protocol does AVP implement to protect against threats?,are you looking for avp beach volleyball
53,discovery channel store,The Discovery Channel Store offers a wide variety of products related to which specific categories or themes?,What products are available at the Discovery Channel store?,are you looking for a deadliest catch product
54,president of the united states,Who was the most recent President of the United States?,What political party was the president of the United States?,are you interested in history of presidents
55,iron,"The specific type of iron you are referring to, such as steel or cast iron?",What chemical element is iron?,are you interested in knowing how iron is made
56,uss yorktown charleston sc,"Where is the USS Yorktown located in Charleston, SC?","What historical events occurred at the U.S.S. Yorktown in Charleston, SC?",are you looking for homes or demographic information
57,ct jobs,In which field or industry are you interested in finding Connecticut job opportunities?,What job titles are available in CT?,are there specific jobs you are looking for
58,penguins,"What type of penguins are these, and what physical features do they have?","What are the population, habitat, and diet of penguins?",are you interested in penguin vape
59,how to build a fence,"What specific materials do you plan on using for your fence, such as wood or metal, and what height and length are you looking to achieve?",What materials are needed to build a fence?,are you interested in the costs of building a fence
6,kcs,"The specific missing detail in the query ""kcs"" is the context or meaning of the abbreviation, so a useful follow-up question would be ""What does KCS stand for and what does it represent?",What does KCS stand for in the context of Knowledge Centered Service?,are you interested in a school district
60,bellevue,Where is Bellevue located?,What substance abuse treatment center is near Bellevue?,are you looking bellevue square mall
61,worm,What specific type of worms are you referring to?,What type of organism completes its life cycle in a host animal?,are you interested in knowing more about a computer worm
62,texas border patrol,"One useful follow-up question to clarify the query would be, ""What specific details or information are you looking for regarding Texas Border Patrol?",What areas do Texas Border Patrol patrol?,are you interested in what their job duties are
63,flushing,"What specific type of flushing are you referring to, such as toilet or plumbing system?",What plumbing technique should be used for safely flushing a toilet?,are you interested in ways to fix problems flushing the toilet
64,moths,"The specific location of the moth species you are interested in, such as their habitat or distribution range?",What genus is moths classified under in the animal kingdom?,are you interested in moth biology
65,korean language,"What specific aspects of the Korean language would you like to know more about, such as grammar rules, vocabulary, pronunciation, or cultural influences?",What is the origin and history of the Korean language?,are you interested in korean language classes
66,income tax return online,What specific type of income tax returns are you referring to when asking about filing them online?,What is the filing deadline for income tax return online?,are you looking for a specific web site
67,vldl levels,What specific values or ranges are you referring to when mentioning VLDL levels?,What test method is used to measure VLDL levels?,a total cholesterol of 180 to 200 mgdl 10 to 111 mmoll or less is considered best levels between 70 and 189 mgdl 39 and 105 mmoll are most often considered too high
68,pvc,What specific type of PVC are you referring to?,What material properties are associated with PVC?,are you interested in a certain fitting for a pvc pipe
69,sewing instructions,What specific type of sewing project are you looking for instructions on?,What fabric is compatible with these sewing instructions?,are you interested to teach sewing to children
7,air travel information,"One useful follow-up question to clarify the query would be, ""Can you provide more details on what specific type of air travel information you are looking for (e.g., airline tickets, flight schedules, airport information, etc.)?",What airlines have flights scheduled to my desired destination?,are you interested in the history of air travel
