topic_id,topic,question,Baseline,Proposed
1,obama family tree,are you interested in seeing barack obamas family,"What specific details about the Obama family tree are you looking for, such as ancestors or relationships within the family?","What educational institutions did Barack Obama attend, and what positions did he hold before becoming President of the United States?"
10,cheap internet,are you interested in finding cheap items on the internet,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
101,ritz carlton lake las vegas,are you looking for a specific web site,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
102,fickle creek farm,are you going to purchase anything there,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
103,madam cj walker,are you looking for sarah breedlove,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
104,indiana child support,are you interested in indiana child support,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
105,sonoma county medical services,are you interested in the human services department,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
106,universal animal cuts reviews,did universal animal cuts work for you,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
107,cass county missouri,are you interested in a list of homes for sale in cass county,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
108,ralph owen brewster,are you interested in learning more about ralph owen brewseter,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
109,mayo clinic jacksonville fl,are you interested in jobs at mayo clinic jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
11,gmat prep classes,any specific company on your mind,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
110,map of brazil,are you planning a trip to brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
111,lymphoma in dogs,are you interested in the treatment costs of lymphoma in dogs,"What specific type of lymphoma is present in your dog, and what are its symptoms?","What is the average five-year survival rate for patients with this condition, according to recent medical studies?"
112,kenmore gas water heater,are you iinterested in a kenmore gas water heater,What specific model or type of Kenmore gas water heater are you inquiring about?,What type of appliance is used for making coffee?
113,hp mini 2140,are you looking for the nearest store you can buy hp mini 2140,What specific features or specifications are you looking for in relation to the HP Mini 2140?,What is the name of the HP Mini laptop you are referring to?
114,adobe indian houses,are you going to purchase any specific product related to your search,"Can you provide more details about what specifically you would like to know about Adobe Indian Houses, such as their architectural features or historical significance?","What materials were used in the construction of the object, and what techniques were employed to create its unique features?"
115,pacific northwest laboratory,are you looking for a specific representative in relation to the company,What specific research or testing is conducted at the Pacific Northwest Laboratory?,"Who are Barack Obama's parents, grandparents, and other ancestors?"
