ID,topic_id,topic,question,answer
1,108,ralph owen brewster,are you interested in learning more about ralph owen brewseter,yes and his biography
2,108,ralph owen brewster,would you like to know the political positions ralph owen brewster held,yes
3,108,ralph owen brewster,would you like to know what movie star portrayed brewster in the movie the aviator and what award the movie star was nominated for the performance,no
4,108,ralph owen brewster,would you like to know what political party ralph owen brewster was affiliated with,yes and other information about him
5,108,ralph owen brewster,how old is ralph owen brewseter,yes
6,108,ralph owen brewster,may i provide you with information regarding when ralph owen brewster died and cause of death,yes please also include general biographical info too
7,108,ralph owen brewster,may i tell you about brewsters parents where and when he was born,yes i am interested in all biographical information about ralph owen brewster
8,108,ralph owen brewster,what is ralph owen brewser famous for,yes that is part fo what im looking for
9,108,ralph owen brewster,what is ralph owen brewsters background,i dont know
10,108,ralph owen brewster,what is ralph owen brewsters education,please answeers this and give me more information
11,108,ralph owen brewster,who is ralph owen brewster,i am not sure so i want to know
12,108,ralph owen brewster,would you like to know about brewsters college education degree and work history,i want all biographical information available for ralph owen brewster
13,108,ralph owen brewster,,
14,108,ralph owen brewster,are you interested in learning more about ralph owen brewseter,yes and what offices did he hold
15,108,ralph owen brewster,would you like to know the political positions ralph owen brewster held,yes please give me a list of the elected offices held by ralph owen brewster
16,108,ralph owen brewster,would you like to know what movie star portrayed brewster in the movie the aviator and what award the movie star was nominated for the performance,no
17,108,ralph owen brewster,would you like to know what political party ralph owen brewster was affiliated with,no i need to know what elected offices he held
18,108,ralph owen brewster,how old is ralph owen brewseter,no i want to know what offices he held
19,108,ralph owen brewster,may i provide you with information regarding when ralph owen brewster died and cause of death,no i want to know about his office positions
20,108,ralph owen brewster,may i tell you about brewsters parents where and when he was born,no thanks i want to know about his elected offices
21,108,ralph owen brewster,what is ralph owen brewser famous for,i am looking for the elected offices of ralph owen
22,108,ralph owen brewster,what is ralph owen brewsters background,no what offices did he hold
23,108,ralph owen brewster,what is ralph owen brewsters education,no i want to know the elected offices that he held
24,108,ralph owen brewster,who is ralph owen brewster,he was an elected official
25,108,ralph owen brewster,would you like to know about brewsters college education degree and work history,yes i would like to know what elected offices he held
26,108,ralph owen brewster,,
27,108,ralph owen brewster,are you interested in learning more about ralph owen brewseter,yes especially about his relationship with howard hughes
28,108,ralph owen brewster,would you like to know the political positions ralph owen brewster held,no
29,108,ralph owen brewster,would you like to know what movie star portrayed brewster in the movie the aviator and what award the movie star was nominated for the performance,no i need to know the relationship he had with howard hughs
30,108,ralph owen brewster,would you like to know what political party ralph owen brewster was affiliated with,no i need to know the specific relationship between ralph owen brewster and howard hughes
31,108,ralph owen brewster,how old is ralph owen brewseter,no i want to know if howard hughes and ralph owen brewster knew or worked together
32,108,ralph owen brewster,may i provide you with information regarding when ralph owen brewster died and cause of death,no i want to know his relationship with howard hughes
33,108,ralph owen brewster,may i tell you about brewsters parents where and when he was born,no i want to know his relationship with howard hughes
34,108,ralph owen brewster,what is ralph owen brewser famous for,i dont know
35,108,ralph owen brewster,what is ralph owen brewsters background,i do not know i would like to know how ralph owen brewster knows howard hughes
36,108,ralph owen brewster,what is ralph owen brewsters education,is there a connection between howard huges and ralph owen brewster
37,108,ralph owen brewster,who is ralph owen brewster,i need information about ralph owen brewster and his relationship with howard hughes
38,108,ralph owen brewster,would you like to know about brewsters college education degree and work history,no i would like to know about his relationship with howard hughes
39,108,ralph owen brewster,,
40,113,hp mini 2140,are you looking for the nearest store you can buy hp mini 2140,i am looking for the price and retailers of the hp mini 2140 notebook computer
41,113,hp mini 2140,do you want to read reviews of hp mini 2140,no i need retailers and prices for the hp mini 2140
42,113,hp mini 2140,how do you intend to use hp mini 2140,maybe but i want retailers and price info about the hp mini 2140 notebook computer
43,113,hp mini 2140,what type of problem are you having with the hp mini 2140,im not having a problem i am interested in purchasing one
44,113,hp mini 2140,are you trying to know the warranty period of hp mini 2140,i dont know
45,113,hp mini 2140,do you need information on accessories for the hp mini 2140,no i want to see retailers and price information
46,113,hp mini 2140,do you need technical specifications for the hp mini 2140,i dont know
47,113,hp mini 2140,do you want reviews of the hp mini 2140,no i am looking for where i can buy one and how much they cost at these locations
48,113,hp mini 2140,do you want to buy a hp mini 2140,i may be interested in buying an hp mini 2140 once i have more information like retailers and price
49,113,hp mini 2140,do you want to download drivers for the hp mini 2140,no need to know where to buy and how much
50,113,hp mini 2140,do you want to know the price of hp mini 2140,yes but i also want to know who sells it
51,113,hp mini 2140,do you want to know the specs of hp mini 2140,yeah i need to know who sells the hp mini 2140 notebook computer and for how much
52,113,hp mini 2140,,
53,113,hp mini 2140,are you looking for the nearest store you can buy hp mini 2140,no i want to read reviews about the mini 2140
54,113,hp mini 2140,do you want to read reviews of hp mini 2140,yes i would like to read reviews of hp mini 2140
55,113,hp mini 2140,how do you intend to use hp mini 2140,i dont know
56,113,hp mini 2140,what type of problem are you having with the hp mini 2140,reveiws for hp mini 2140
57,113,hp mini 2140,are you trying to know the warranty period of hp mini 2140,no i want to know about the overall product from users who reviewed it
58,113,hp mini 2140,do you need information on accessories for the hp mini 2140,no i want to know what other people think about the hp mini 2140
59,113,hp mini 2140,do you need technical specifications for the hp mini 2140,no i want product reviews of it
60,113,hp mini 2140,do you want reviews of the hp mini 2140,yes
61,113,hp mini 2140,do you want to buy a hp mini 2140,no i want to find reviews about the hp mini 2140
62,113,hp mini 2140,do you want to download drivers for the hp mini 2140,no i am looking for product reviews
63,113,hp mini 2140,do you want to know the price of hp mini 2140,no i want to see reviews
64,113,hp mini 2140,do you want to know the specs of hp mini 2140,no i am looking for reviews on the hp mini 2140 notebook computer
65,113,hp mini 2140,,
66,113,hp mini 2140,are you looking for the nearest store you can buy hp mini 2140,no i am looking for technical specifications
67,113,hp mini 2140,do you want to read reviews of hp mini 2140,i want to know the specifications
68,113,hp mini 2140,how do you intend to use hp mini 2140,i want information on the specs
69,113,hp mini 2140,what type of problem are you having with the hp mini 2140,i am not having a problem i want the technical specifications of the hp mini 2140 notebook computer
70,113,hp mini 2140,are you trying to know the warranty period of hp mini 2140,no i am looking for the technical specifications for the hp mini 2140 not the warranty period
71,113,hp mini 2140,do you need information on accessories for the hp mini 2140,no i need the specifications
72,113,hp mini 2140,do you need technical specifications for the hp mini 2140,yes i need technical specifications of the hp mini 2140
73,113,hp mini 2140,do you want reviews of the hp mini 2140,no i want the technical specifications
74,113,hp mini 2140,do you want to buy a hp mini 2140,no i want to know the technical specifications of the hp mini 2140 notebood computer
75,113,hp mini 2140,do you want to download drivers for the hp mini 2140,no i am looking for specifications of the hp mini 2140 notebook
76,113,hp mini 2140,do you want to know the price of hp mini 2140,no i would like to know the technical specifications of the hp mini 2140 notebook computer
77,113,hp mini 2140,do you want to know the specs of hp mini 2140,yes i want to know the specs of the hp mini 2140
78,113,hp mini 2140,,
79,114,adobe indian houses,are you going to purchase any specific product related to your search,maybe
80,114,adobe indian houses,do you wish to know the location of native american houses,no i want to know how adobe houses are built
81,114,adobe indian houses,what type of adobe indian house are you looking for,any i just want to know how to build one
82,114,adobe indian houses,are you looking for pictures of adobe indian houses,no i want to know how they are built
83,114,adobe indian houses,are you looking for a tour of adobe indian houses,no i want to know how does someone build an adobe house
84,114,adobe indian houses,are you looking for pictures of adobe indian houses,no i would like to know how one can build an adobe house
