topic,Baseline,Decomposition,Yes_No,OneStep,Iter-1,Iter-2,Iter-Final,Iter-Steps
porterville,"Is Porterville a specific city or location you're referring to, such as in California?",What is Porterville known for in terms of its economy or industry?,Is Porterville a city in California?,What is the intended meaning of porterville?,What is the intended meaning of porterville?,What is Porterville's primary economic industry?,What is Porterville's primary economic industry?,3
rick warren,Is Rick Warren's focus on spiritual growth and leadership primarily geared towards Christians or also applicable to other faiths?,Who is Rick Warren's primary audience for his books and sermons?,Is Rick Warren a Christian author?,What is the intended meaning of rick warren?,What is the intended meaning of rick warren?,,What is the intended meaning of rick warren?,2
adobe indian houses,"What specific type of Adobe Indian house are you referring to, such as a Pueblo or Anasazi dwelling?","Who were the Adobe Indian people, and what was their traditional way of life?",Are Adobe Indian houses typically found in dry desert regions?,What type of traditional Indian houses are commonly associated with Adobe construction?,What type of traditional Indian houses are commonly associated with Adobe construction?,What role did traditional Indian houses play in the daily lives of their occupants?,What role did traditional Indian houses play in the daily lives of their occupants?,3
indexed annuity,"Is an indexed annuity specifically tied to a particular market index, such as the S&P 500?",What is the primary benefit of investing in an indexed annuity?,Is an indexed annuity tied to a specific inflation index?,What is the intended meaning of indexed annuity?,What is the intended meaning of indexed annuity?,,What is the intended meaning of indexed annuity?,2
bellevue,Is Bellevue referring to the city in Washington state or another location?,Is Bellevue a specific city or location?,Is Bellevue a city?,What is the intended meaning of bellevue?,What is the intended meaning of bellevue?,What is the context in which Bellevue refers to?,What is the context in which Bellevue refers to?,3
elliptical trainer,"Is there a specific type of elliptical trainer (e.g. home gym, commercial use, budget range) you are looking for more information on?",What is the typical target area of an elliptical trainer for users with joint issues?,Is an elliptical trainer a type of cardio machine?,What is the intended meaning of elliptical trainer?,What is the intended meaning of elliptical trainer?,What is the intended purpose of an elliptical trainer?,What is the intended purpose of an elliptical trainer?,3
alexian brothers hospital,"Is Alexian Brothers Hospital located in Peoria, Illinois?",What is the primary role or function of Alexian Brothers Hospital in serving its community?,Is Alexian Brothers Hospital a real medical facility?,What is the role of Alexian Brothers Hospital in providing healthcare services to the community?,What is the role of Alexian Brothers Hospital in providing healthcare services to the community?,What notable medical innovation did Alexian Brothers Hospital develop?,What notable medical innovation did Alexian Brothers Hospital develop?,3
dutchess county tourism,Is Dutchess County in New York State?,"What is the primary target audience for Dutchess County Tourism, and how do they differ from other regional tourist groups?",Is Dutchess County a popular tourist destination?,What nearby attractions are there in Dutchess County that complement its historic sites and natural beauty?,What nearby attractions are there in Dutchess County that complement its historic sites and natural beauty?,What seasonal events are typically held in Dutchess County?,What seasonal events are typically held in Dutchess County?,3
california franchise tax board,"Is the California Franchise Tax Board (FTB) primarily responsible for taxing businesses operating in California, or are there specific industries or types of businesses that may be subject to different tax regulations?",What is the primary role of the California Franchise Tax Board in relation to businesses operating within the state?,Is the California Franchise Tax Board responsible for collecting taxes on businesses operating in California?,What is the name of the California state agency responsible for administering the franchise tax?,What is the name of the California state agency responsible for administering the franchise tax?,What role does the California Franchise Tax Board play in enforcing tax laws for businesses operating within the state?,What role does the California Franchise Tax Board play in enforcing tax laws for businesses operating within the state?,3
to be or not to be that is the question,"Is this a philosophical inquiry about existentialism, specifically referencing Shakespeare's Hamlet?",Is Hamlet the author of this famous philosophical query?,Is this a philosophical inquiry?,"What is the context in which Shakespeare's famous phrase ""to be or not to be"" appears?","What is the context in which Shakespeare's famous phrase ""to be or not to be"" appears?","What philosophical framework is Hamlet's famous soliloquy ""To be or not to be"" primarily rooted in?","What philosophical framework is Hamlet's famous soliloquy ""To be or not to be"" primarily rooted in?",3
